merchant_id,churn_probability,churn_risk_level,inactive_days,revenue_decline_pct,reorder_drop_pct,support_tickets_open,churn_driver,retention_recommendation
M0001,0.4379,MEDIUM,41,39.42,33.83,9,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0002,0.2127,LOW,25,23.21,26.61,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0003,0.5376,MEDIUM,52,54.97,43.1,13,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0004,0.3798,MEDIUM,36,35.76,25.74,7,Payment Gateway Failures & Bank Latency,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0005,0.0868,LOW,9,11.95,8.59,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0006,0.6364,HIGH,75,58.61,44.72,15,Payment Gateway Failures & Bank Latency,"Deploy urgent automated checkout retry logic, instant WhatsApp refund notifications, and 15% win-back incentives."
M0007,0.2423,LOW,30,19.74,18.69,7,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0008,0.3711,MEDIUM,34,35.0,33.88,7,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0009,0.5195,MEDIUM,67,52.08,29.49,11,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0010,0.4526,MEDIUM,39,40.14,36.43,8,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0011,0.1566,LOW,24,20.84,20.3,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0012,0.5043,MEDIUM,46,48.39,32.18,10,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0013,0.0322,LOW,16,2.79,4.83,1,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0014,0.409,MEDIUM,47,39.26,30.94,10,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0015,0.3036,MEDIUM,42,23.9,19.43,7,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0016,0.3267,MEDIUM,35,27.53,19.99,7,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0017,0.2859,MEDIUM,18,19.88,19.83,3,Payment Gateway Failures & Bank Latency,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0018,0.3265,MEDIUM,40,31.37,27.96,9,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0019,0.0732,LOW,20,9.11,3.99,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0020,0.0209,LOW,17,1.05,9.88,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0021,0.5142,MEDIUM,56,46.87,41.66,9,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0022,0.1903,LOW,18,11.13,18.12,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0023,0.1577,LOW,26,13.16,9.8,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0024,0.4865,MEDIUM,50,46.62,40.83,10,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0025,0.6462,HIGH,67,54.18,39.25,12,Elevated Return/Refund Volume,"Deploy urgent automated checkout retry logic, instant WhatsApp refund notifications, and 15% win-back incentives."
M0026,0.02,LOW,13,7.28,1.94,2,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0027,0.15,LOW,16,19.18,16.36,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0028,0.1623,LOW,26,13.34,14.71,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0029,0.1659,LOW,15,16.35,11.95,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0030,0.0363,LOW,18,2.76,1.99,2,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0031,0.5823,MEDIUM,61,53.73,39.83,12,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0032,0.5322,MEDIUM,56,51.46,38.38,13,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0033,0.5207,MEDIUM,49,44.48,30.68,12,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0034,0.2161,LOW,26,18.91,19.45,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0035,0.2727,MEDIUM,23,18.31,22.37,5,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0036,0.0463,LOW,13,13.31,11.67,2,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0037,0.2992,MEDIUM,29,26.43,26.01,5,Payment Gateway Failures & Bank Latency,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0038,0.0469,LOW,9,8.96,0.0,1,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0039,0.1267,LOW,11,10.61,11.82,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0040,0.11,LOW,12,12.32,9.86,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0041,0.2007,LOW,17,16.73,19.58,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0042,0.2223,LOW,23,15.24,18.63,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0043,0.0895,LOW,11,8.14,0.75,1,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0044,0.2566,MEDIUM,27,25.85,21.3,5,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0045,0.3797,MEDIUM,40,28.92,32.31,7,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0046,0.1105,LOW,17,7.76,9.81,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
